CLIENTS,CERTIFICATIONS,WEBSITE
Ciel Creative Space,MBE/WBENC,"<a href=""https://www.cielcreativespace.com"" target=""_blank"" rel=""noopener"">www.cielcreativespace.com</a>"
CIMCON Software LLC,MBE,"<a href=""https://www.cimcon.com"" target=""_blank"" rel=""noopener"">www.cimcon.com</a>"
"Claims-X-Change, LLC and MediVeda Solutions, Inc. DBA CXC Solution",MBE/SBE,"<a href=""https://www.cxcnetwork.com"" target=""_blank"" rel=""noopener"">www.cxcnetwork.com</a>"
CleanMark Group Inc,WBENC,"<a href=""https://www.cleanmark.com"" target=""_blank"" rel=""noopener"">www.cleanmark.com</a>"
Clear Blue Commercial,WBE/WOSB/CPUC,"<a href=""https://www.clearbluecommercial.com"" target=""_blank"" rel=""noopener"">www.clearbluecommercial.com</a>"
Coach To Discover,MBE/SBE,"<a href=""https://www.coachingtodiscover"" target=""_blank"" rel=""noopener"">www.coachingtodiscover</a>"
Columbus Technology Solutions inc,MBE,"<a href=""https://www.columbustechnologysolutions.com"" target=""_blank"" rel=""noopener"">www.columbustechnologysolutions.com</a>"
Common Ground Spirits,MBE/SBE,"<a href=""https://www.commongroundspirits.com"" target=""_blank"" rel=""noopener"">www.commongroundspirits.com</a>"
Communications Catalyst Incorporated,WBENC,"<a href=""https://www.jmgrumet.com"" target=""_blank"" rel=""noopener"">www.jmgrumet.com</a>"
Complete Business Solutions Inc,WBENC,"<a href=""https://combussol.com/"" target=""_blank"" rel=""noopener"">https://combussol.com/</a>"
Complete Tablet Solutions LLP,MBE,"<a href=""https://www.completetable.com"" target=""_blank"" rel=""noopener"">www.completetable.com</a>"
Compusharp Inc,MBE/SBE/CPUC,"<a href=""https://www.compusharp.com"" target=""_blank"" rel=""noopener"">www.compusharp.com</a>"
Covered Records Inc dba Crossclear Inc.,NGLCC in process,"<a href=""https://www.coveredrecords.com"" target=""_blank"" rel=""noopener"">www.coveredrecords.com</a>"
Cr8tive Row LLC,MBE,"<a href=""https://www.cr8tiverow.com"" target=""_blank"" rel=""noopener"">www.cr8tiverow.com</a>"
Craftiful LLC dba Craftiful Studio,WBENC,"<a href=""https://www.craftifulstudio.com"" target=""_blank"" rel=""noopener"">www.craftifulstudio.com</a>"
Creative Engineering LLC,NVBDC/DOBE,"<a href=""https://www.mpgpainting.net"" target=""_blank"" rel=""noopener"">www.mpgpainting.net</a>"
Creative Facilitations LLC,WBENC,"<a href=""https://www.creativefacilitations.com"" target=""_blank"" rel=""noopener"">www.creativefacilitations.com</a>"
Croft Consulting Services,WBE,"<a href=""https://croftconsultingservices.com"" target=""_blank"" rel=""noopener"">croftconsultingservices.com</a>"
C-Suite Coaching,MBE/WBENC/NGLCC,"<a href=""https://www.csuitecoach.com"" target=""_blank"" rel=""noopener"">www.csuitecoach.com</a>"
Culinary Artistas,MBE/WBENC,"<a href=""https://www.culinaryartistas.com"" target=""_blank"" rel=""noopener"">www.culinaryartistas.com</a>"
Culture Management Group,MBE,"<a href=""https://Afrochella.com"" target=""_blank"" rel=""noopener"">Afrochella.com</a>"
CWW Group,MBE/SBE/CPUC/DBE,"<a href=""https://www.cwwgrp.com"" target=""_blank"" rel=""noopener"">www.cwwgrp.com</a>"
Cybernautix Systems LLC,MBE,"<a href=""https://www.dotexe.com"" target=""_blank"" rel=""noopener"">www.dotexe.com</a>"
DC Drywall,DBE,
Debonair Events,WBE,"<a href=""https://www.thedebonairevents.com/"" target=""_blank"" rel=""noopener"">https://www.thedebonairevents.com/</a>"
Devcon Construction Inc,NVBDC,"<a href=""https://www.devconconstruction.com/careers"" target=""_blank"" rel=""noopener"">https://www.devconconstruction.com/careers</a>"
Dex Tech LLC,MBE,
Digital Media & Energy Efficiency,WBE,
Diligente Technologies,MBE/WBE,"<a href=""https://www.diligentetechnologies.com"" target=""_blank"" rel=""noopener"">www.diligentetechnologies.com</a>"
DJ Kara LA LLC,MBE/WBE/NGLCC,"<a href=""https://www.djkarala.com"" target=""_blank"" rel=""noopener"">www.djkarala.com</a>"
DOPE Digital Tech Lab,MBE,"<a href=""https://www.dopelabs.org"" target=""_blank"" rel=""noopener"">www.dopelabs.org</a>"
Drone Worx Pro-Washing Inc,MBE/SBE,"<a href=""https://www.droneworxprowashing.com/"" target=""_blank"" rel=""noopener"">https://www.droneworxprowashing.com/</a>"
Dula-Werke Dustmann & Co,DOBE,"<a href=""https://www.dula.de"" target=""_blank"" rel=""noopener"">www.dula.de</a>"
E Computer Technologies,MBE/SBE/HUB,"<a href=""http://www.ecomputertech.com/"" target=""_blank"" rel=""noopener"">http://www.ecomputertech.com/</a>"
E3 Consulting Corporation,WBENC/WOSB,"<a href=""https://www.ergonomicconsultants.com"" target=""_blank"" rel=""noopener"">www.ergonomicconsultants.com</a>"
Edgeall Inc,MBE/SBE/WBE,"<a href=""https://www.edgeall.com/myedge/jsp/index.jsp"" target=""_blank"" rel=""noopener"">https://www.edgeall.com/myedge/jsp/index.jsp</a>"
Eight25Media,MBE,"<a href=""https://www.eight25media.com"" target=""_blank"" rel=""noopener"">www.eight25media.com</a>"
Element Structural Engineers,MBE/SBE/WBENC/WOSB/CPUC/SAM,"<a href=""https://www.elementse.com"" target=""_blank"" rel=""noopener"">www.elementse.com</a>"
Embrava Group,WBENC,"<a href=""https://www.embravagroup.com"" target=""_blank"" rel=""noopener"">www.embravagroup.com</a>"
Emergent Risk International,WBENC,"<a href=""https://www.emergentriskinternational.com"" target=""_blank"" rel=""noopener"">www.emergentriskinternational.com</a>"
"Environmental Plus, Inc",MBE,"<a href=""https://www.epi-usa.com"" target=""_blank"" rel=""noopener"">www.epi-usa.com</a>"
Envirotek Industrial,WBENC,"<a href=""http://www.envirotekindustrialcleaning.com/"" target=""_blank"" rel=""noopener"">http://www.envirotekindustrialcleaning.com/</a>"
ePrint Online,WBE,"<a href=""http://www.eprint.eco.br/"" target=""_blank"" rel=""noopener"">http://www.eprint.eco.br/</a>"
Erpmark Inc.,MBE,"<a href=""https://erpmark.com/"" target=""_blank"" rel=""noopener"">https://erpmark.com/</a>"
Excell Consulting Inc,MBE/CPUC,"<a href=""https://www.excellconinc.com"" target=""_blank"" rel=""noopener"">www.excellconinc.com</a>"
Executive Talent Management,WBENC,"<a href=""https://www.etmcnetwork.com/#/"" target=""_blank"" rel=""noopener"">https://www.etmcnetwork.com/#/</a>"
"Expectant Advisory, LLC",MBE,"<a href=""https://expectantadvisory.com/#home"" target=""_blank"" rel=""noopener"">https://expectantadvisory.com/#home</a>"
Facit Consulting LLC,NGLCC,"<a href=""https://facit.miami/"" target=""_blank"" rel=""noopener"">https://facit.miami/</a>"
Factor Creative LLC,MBE,"<a href=""https://www.factorsf.com"" target=""_blank"" rel=""noopener"">www.factorsf.com</a>"
Factory 360,MBE,"<a href=""https://factory360.com/"" target=""_blank"" rel=""noopener"">https://factory360.com/</a>"
"FCG, Inc",WBENC,"<a href=""https://www.thrivepointprograms.com"" target=""_blank"" rel=""noopener"">www.thrivepointprograms.com</a>"
Firefly Pros Inc,WBE/WOSB,"<a href=""https://fireflypros.com/"" target=""_blank"" rel=""noopener"">https://fireflypros.com/</a>"
Fisec Global Inc.,SLEB/WBE,"<a href=""http://www.fisecglobal.net/"" target=""_blank"" rel=""noopener"">http://www.fisecglobal.net/</a>"
Flouracity,NGLCC,"<a href=""https://www.flouracity.com"" target=""_blank"" rel=""noopener"">www.flouracity.com</a>"
Forticon Inc,MBE/SBE/CPUC/DBE/SLEB,"<a href=""https://www.forticon.com"" target=""_blank"" rel=""noopener"">www.forticon.com</a>"
"Foursteps Solutions, LLC",MBE/SBE,"<a href=""https://www.foursteps.solutions"" target=""_blank"" rel=""noopener"">www.foursteps.solutions</a>"
Fragomen,WBE,"<a href=""https://www.fragomen.com"" target=""_blank"" rel=""noopener"">www.fragomen.com</a>"
Frater Real Estate,SBE/MBE/SAM,"<a href=""https://www.fraterrealestate.com"" target=""_blank"" rel=""noopener"">www.fraterrealestate.com</a>"
"Frazer Solutions, LLC",MBE/NVBDC,"<a href=""https://www.frazersol.com"" target=""_blank"" rel=""noopener"">www.frazersol.com</a>"
friEdTechnology,WBENC/WOSB/SAM,"<a href=""https://www.friedtechnology.com"" target=""_blank"" rel=""noopener"">www.friedtechnology.com</a>"
FTGU Allegiance LLC,MBE/SBE/WBENC/WOSB/SAM,"<a href=""https://n/a"" target=""_blank"" rel=""noopener"">n/a</a>"
Fun Team Events,NGLCC,"<a href=""https://www.funteamevents.com"" target=""_blank"" rel=""noopener"">www.funteamevents.com</a>"
Genre Foods LLC,WBENC,"<a href=""https://N/A"" target=""_blank"" rel=""noopener"">N/A</a>"
"George Films Inc, dba George Media",WBENC,"<a href=""https://www.george.media"" target=""_blank"" rel=""noopener"">www.george.media</a>"
Get Marketing,MBE/WBENC/NVBDC,"<a href=""https://www.getmarketing.com"" target=""_blank"" rel=""noopener"">www.getmarketing.com</a>"
"Get TAGit, Inc.",MBE/WBENC,"<a href=""https://www.gettagit.com"" target=""_blank"" rel=""noopener"">www.gettagit.com</a>"
Givsly PBC,NGLCC,"<a href=""https://givsly.com"" target=""_blank"" rel=""noopener"">givsly.com</a>"
"Global Gourmet (Avatar Foods International, Inc., dba Global Gourmet Catering)",WBENC,"<a href=""https://www.ggcatering.com/"" target=""_blank"" rel=""noopener"">https://www.ggcatering.com/</a>"
GraceMark Solutions,MBE,"<a href=""https://gracemarksolutions.com/"" target=""_blank"" rel=""noopener"">https://gracemarksolutions.com/</a>"
"Grand Electric & Construction Co., Inc.",MBE,"<a href=""https://www.grandelectric.us"" target=""_blank"" rel=""noopener"">www.grandelectric.us</a>"
Greenbuild Maintenance Group,WBENC,"<a href=""https://www.greenbuildcg.com"" target=""_blank"" rel=""noopener"">www.greenbuildcg.com</a>"
Greenery NYC,WBENC,"<a href=""https://www.greenerynyc.com"" target=""_blank"" rel=""noopener"">www.greenerynyc.com</a>"
Guacamaya Painting Inc,MBE/WBENC,"<a href=""https://www.guacamayapainting.com"" target=""_blank"" rel=""noopener"">www.guacamayapainting.com</a>"
Harperville Inc,MBE,"<a href=""https://www.harperville.com"" target=""_blank"" rel=""noopener"">www.harperville.com</a>"
Harris & Lee Environmental Sciences LLC,WBENC,"<a href=""https://www.hlenv.com"" target=""_blank"" rel=""noopener"">www.hlenv.com</a>"
Hen’s Tooth Productions LLC,WBENC,"<a href=""https://www.henstoothpro.com"" target=""_blank"" rel=""noopener"">www.henstoothpro.com</a>"
Heron Production Group Inc,WBENC,"<a href=""https://www.heronpg.com"" target=""_blank"" rel=""noopener"">www.heronpg.com</a>"
Hey Beautiful Jerk,WBENC,"<a href=""https://www.heybeautifuljerk.com"" target=""_blank"" rel=""noopener"">www.heybeautifuljerk.com</a>"
Hintze Law,MBE/NGLCC,"<a href=""https://www.hintzelaw.com"" target=""_blank"" rel=""noopener"">www.hintzelaw.com</a>"
HollandWest Production LLC,MBE,"<a href=""https://www.hollandwestproductions.com/"" target=""_blank"" rel=""noopener"">https://www.hollandwestproductions.com/</a>"
"Hollins Consulting, Inc",MBE,"<a href=""https://www.hollinsconsult.com"" target=""_blank"" rel=""noopener"">www.hollinsconsult.com</a>"
Hopr LLC,NGLCC,"<a href=""https://www.hopr.tv"" target=""_blank"" rel=""noopener"">www.hopr.tv</a>"
Hotfusion Communications Inc,WBENC,"<a href=""https://www.hotfusion.net"" target=""_blank"" rel=""noopener"">www.hotfusion.net</a>"
"Hugo Technologies, Inc",MBE,"<a href=""https://www.hugotech.co"" target=""_blank"" rel=""noopener"">www.hugotech.co</a>"
Hypothesis Inc,WBENC,"<a href=""https://www.hypothesisgroup.com"" target=""_blank"" rel=""noopener"">www.hypothesisgroup.com</a>"
iBase Technologies Inc.,State Cert,"<a href=""https://ibasetechnologies.com"" target=""_blank"" rel=""noopener"">ibasetechnologies.com</a>"
IDC Technologies,CPUC/MBE,"<a href=""https://www.idctechnologies.com"" target=""_blank"" rel=""noopener"">www.idctechnologies.com</a>"
Imaddudin Consulting Group,MBE,"<a href=""https://www.imadb2b.com"" target=""_blank"" rel=""noopener"">www.imadb2b.com</a>"
Impact Strategy Group,MBE/WBENC,"<a href=""https://www.impactstrategygroup.org"" target=""_blank"" rel=""noopener"">www.impactstrategygroup.org</a>"
"Imprint, LLC Bom Parties",WBENC,"<a href=""https://www.thebomparties.com"" target=""_blank"" rel=""noopener"">www.thebomparties.com</a>"
Infometry,MBE,"<a href=""https://www.infometry.net"" target=""_blank"" rel=""noopener"">www.infometry.net</a>"
Infotech Spectrum Inc,MBE/SBE/CPUC,"<a href=""https://www.infotechspectrum.com"" target=""_blank"" rel=""noopener"">www.infotechspectrum.com</a>"
Infoway Solutions LLC,MBE/SBE/CPUC,"<a href=""https://www.infowaygroup.com"" target=""_blank"" rel=""noopener"">www.infowaygroup.com</a>"
"Infrastructure Professional Services and Equipment, LLC",MBE,"<a href=""https://www.procore.com/network/p/infrastructure-professional-services-and-equipment-llc-greensboro"" target=""_blank"" rel=""noopener"">https://www.procore.com/network/p/infrastructure-professional-services-and-equipment-llc-greensboro</a>"
Insight Intelli Inc,MBE,"<a href=""http://www.insightintelli.com/"" target=""_blank"" rel=""noopener"">http://www.insightintelli.com/</a>"
International Solution Sources LLC (Intersources Inc),MBE/SBE/WBENC,"<a href=""https://www.intersourcesinc.com"" target=""_blank"" rel=""noopener"">www.intersourcesinc.com</a>"
Invisible Hand LLC,WBENC,"<a href=""https://www.invisiblehand.co"" target=""_blank"" rel=""noopener"">www.invisiblehand.co</a>"
INVOVIA INC,SBE/MBE/SLEB,"<a href=""https://invovia.com/"" target=""_blank"" rel=""noopener"">https://invovia.com/</a>"
Island Builders Group,MBE/DBE,"<a href=""https://www.ibg-ny.com"" target=""_blank"" rel=""noopener"">www.ibg-ny.com</a>"
Island Vibe LLC,MBE/SBE/NVBDC,"<a href=""https://www.drinkislandvibe.com"" target=""_blank"" rel=""noopener"">www.drinkislandvibe.com</a>"
ISTA Engineers LLC,WBENC,"<a href=""https://www.istaengineers.com"" target=""_blank"" rel=""noopener"">www.istaengineers.com</a>"
iTek People Inc,MBE,"<a href=""https://www.itekpeople.com"" target=""_blank"" rel=""noopener"">www.itekpeople.com</a>"
J. Cutt Productions,MBE,"<a href=""https://www.jcutt.com"" target=""_blank"" rel=""noopener"">www.jcutt.com</a>"
J. Rinehart Gallery LLC,WBENC,"<a href=""https://www.jrinehartgallery.com"" target=""_blank"" rel=""noopener"">www.jrinehartgallery.com</a>"
Jahangiri Law Group of Professional Corporation,MBE/SBE/WBENC/WOSB,"<a href=""https://www.thejlawgroup.com"" target=""_blank"" rel=""noopener"">www.thejlawgroup.com</a>"
Justice Speaks Strategies,MBE/WBENC,"<a href=""https://justicespeaks.us/"" target=""_blank"" rel=""noopener"">https://justicespeaks.us/</a>"
JUV Consulting,MBE/NGLCC,"<a href=""https://www.juvconsulting.com"" target=""_blank"" rel=""noopener"">www.juvconsulting.com</a>"
JVZ Group,MBE/SBE,"<a href=""https://sites.google.com/view/jvzgroupinc/home"" target=""_blank"" rel=""noopener"">https://sites.google.com/view/jvzgroupinc/home</a>"
Karmapants Photography,WBENC,"<a href=""https://www.karmapants.com"" target=""_blank"" rel=""noopener"">www.karmapants.com</a>"
Karwell Technologies Inc.,MBE,"<a href=""http://www.karwelltech.us/"" target=""_blank"" rel=""noopener"">http://www.karwelltech.us/</a>"
Katalyst Healthcare & Life Sciences Inc,MBE,"<a href=""https://www.katalystHLS.com"" target=""_blank"" rel=""noopener"">www.katalystHLS.com</a>"
Kimzin Creative LLC,MBE,"<a href=""https://www.nikkokimzin.com"" target=""_blank"" rel=""noopener"">www.nikkokimzin.com</a>"
King Bach Enterprises LLC,WBENC,"<a href=""https://www.bachusa.com"" target=""_blank"" rel=""noopener"">www.bachusa.com</a>"
Kiwi Vision LLC,MBE/SBE/WBENC,"<a href=""https://www.themorgansquare.com"" target=""_blank"" rel=""noopener"">www.themorgansquare.com</a>"
Kluge Strategic,MBE,"<a href=""https://www.klugeinteractive.com"" target=""_blank"" rel=""noopener"">www.klugeinteractive.com</a>"
Koami Architecture,WBENC,"<a href=""https://www.koamiarchitecture.com"" target=""_blank"" rel=""noopener"">www.koamiarchitecture.com</a>"
Konnectingtree,WBENC,"<a href=""https://www.konnectingtree.com"" target=""_blank"" rel=""noopener"">www.konnectingtree.com</a>"
Labdesign,WBENC,"<a href=""https://www.labdesign.com/#home"" target=""_blank"" rel=""noopener"">https://www.labdesign.com/#home</a>"
"Law Office of Chun T. Wright, PLLC",MBE/WBENC,"<a href=""https://www.ctwrightlaw.com"" target=""_blank"" rel=""noopener"">www.ctwrightlaw.com</a>"
LBT Marketing,WBENC,"<a href=""https://www.lifeisbettertogether.store"" target=""_blank"" rel=""noopener"">www.lifeisbettertogether.store</a>"
Lea Stafford Events,MBE/SBE/WBENC,"<a href=""https://www.leastafford.com"" target=""_blank"" rel=""noopener"">www.leastafford.com</a>"
LeChat,MBE,"<a href=""https://lechatnails.com/"" target=""_blank"" rel=""noopener"">https://lechatnails.com/</a>"
Lewis and Tibbits,CPUC,"<a href=""https://www.diglt.com"" target=""_blank"" rel=""noopener"">www.diglt.com</a>"
Livemindz,WBENC/Texas Hub,"<a href=""https://www.liveminds.co"" target=""_blank"" rel=""noopener"">www.liveminds.co</a>"
Logos Global Tech,MBE/SBE/WBENC/WOSB/CPUC,"<a href=""http://logosglobaltech.com/"" target=""_blank"" rel=""noopener"">http://logosglobaltech.com/</a>"
Lovers Not Haters,MBE,"<a href=""https://www.loversnothaters.com"" target=""_blank"" rel=""noopener"">www.loversnothaters.com</a>"
Luis Pedro Castillo Pictures,MBE/SBE,"<a href=""http://www.luispedrocastillo.com/"" target=""_blank"" rel=""noopener"">http://www.luispedrocastillo.com/</a>"
Luminating Works LLC,MBE/WBENC,"<a href=""https://www.cultureshift.agency"" target=""_blank"" rel=""noopener"">www.cultureshift.agency</a>"
"Maidstone Films, Inc",WBENC,"<a href=""https://maidstonesolutions.co"" target=""_blank"" rel=""noopener"">maidstonesolutions.co</a>"
Mark Infotech Inc,MBE/WBENC,"<a href=""https://markinfotech.com/"" target=""_blank"" rel=""noopener"">https://markinfotech.com/</a>"
Master Powder Coating Inc.,MBE/SBE/WBENC,"<a href=""https://www.masterpowdercoating.com"" target=""_blank"" rel=""noopener"">www.masterpowdercoating.com</a>"
MBH Architects,MBE,"<a href=""https://mbharch.com"" target=""_blank"" rel=""noopener"">mbharch.com</a>"
Melrose Project Management,WBENC,"<a href=""https://n/a"" target=""_blank"" rel=""noopener"">n/a</a>"
Merman Branded,WBENC,"<a href=""https://hellomerman.com/"" target=""_blank"" rel=""noopener"">https://hellomerman.com/</a>"
"Merman USA, LLC",WBENC,"<a href=""https://www.hellomerman.com"" target=""_blank"" rel=""noopener"">www.hellomerman.com</a>"
Misram LLC,WBENC/WOSB,"<a href=""https://www.spectronn.com"" target=""_blank"" rel=""noopener"">www.spectronn.com</a>"
Mobile Technologies Inc,MBE,"<a href=""https://www.mtigs.com"" target=""_blank"" rel=""noopener"">www.mtigs.com</a>"
Mosaic Consulting Group,WBENC/WOSB,"<a href=""https://www.mosaic-cg.com"" target=""_blank"" rel=""noopener"">www.mosaic-cg.com</a>"
MP Structural Engineers,SBE/DBE,"<a href=""https://www.mpstructural.com"" target=""_blank"" rel=""noopener"">www.mpstructural.com</a>"
"Nettrux, LLC",MBE/WBENC,"<a href=""http://www.nettrux.net/"" target=""_blank"" rel=""noopener"">http://www.nettrux.net/</a>"
Never Whisper Justice,MBE,"<a href=""https://neverwhisperjustice.com/"" target=""_blank"" rel=""noopener"">https://neverwhisperjustice.com/</a>"
Niha Technologies Inc,MBE,"<a href=""https://www.nihatech.com"" target=""_blank"" rel=""noopener"">www.nihatech.com</a>"
Novo Communications LLC,MBE,"<a href=""https://www.novocommunications.com"" target=""_blank"" rel=""noopener"">www.novocommunications.com</a>"
Nude Barre,MBE/WBE,"<a href=""https://nudebarre.com/"" target=""_blank"" rel=""noopener"">https://nudebarre.com/</a>"
"Numerious, Inc",WBENC,"<a href=""https://www.numerious.com"" target=""_blank"" rel=""noopener"">www.numerious.com</a>"
Obviously,WBENC,"<a href=""https://www.obvious.ly"" target=""_blank"" rel=""noopener"">www.obvious.ly</a>"
Ocean Beach Consulting,WBENC,"<a href=""https://www.oceanb.com"" target=""_blank"" rel=""noopener"">www.oceanb.com</a>"
Oficina De Impacto,WBENC,"<a href=""https://www.oficinadeimpacto.com.br"" target=""_blank"" rel=""noopener"">www.oficinadeimpacto.com.br</a>"
"Opus Intelligence Labs, Inc",MBE,"<a href=""https://www.opusintel.co/"" target=""_blank"" rel=""noopener"">https://www.opusintel.co/</a>"
Opus LLC,MBE,"<a href=""https://www.opusunited.com"" target=""_blank"" rel=""noopener"">www.opusunited.com</a>"
